exercicio;periodo;periodicidade;instituicao;cod_ibge;uf;co_poder;populacao;anexo;esfera;rotulo;coluna;cod_conta;conta;valor
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;DividaConsolidada;DÍVIDA CONSOLIDADA - DC (I);835208380,45
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;DividaConsolidada;DÍVIDA CONSOLIDADA - DC (I);957064783,09
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;DividaContratual;Dívida Contratual;835208380,45
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;DividaContratual;Dívida Contratual;957064783,09
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;DividaContratualInterna;Interna;679568730,21
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;DividaContratualInterna;Interna;781655229,23
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;DividaContratualExterna;Externa;155639650,24
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;DividaContratualExterna;Externa;175409553,86
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;DeducoesDaDividaConsolidada;DEDUÇÕES (II);239169105,4
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;DeducoesDaDividaConsolidada;DEDUÇÕES (II);578621780,83
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;DisponibilidadeDeCaixaBruta;Disponibilidade de Caixa Bruta;363018367,16
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;DisponibilidadeDeCaixaBruta;Disponibilidade de Caixa Bruta;564857690,84
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;DemaisHaveresFinanceiros;Demais Haveres Financeiros;23124007,93
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;DemaisHaveresFinanceiros;Demais Haveres Financeiros;27636859,03
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;RestosAPagarProcessadosExcetoPrecatorios;(-) Restos a Pagar Processados (Exceto Precatórios);146973269,69
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;RestosAPagarProcessadosExcetoPrecatorios;(-) Restos a Pagar Processados (Exceto Precatórios);13872769,04
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;DividaConsolidadaLiquida;DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II);596039275,05
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;DividaConsolidadaLiquida;DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II);378443002,26
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;RGF2ReceitaCorrenteLiquida;RECEITA CORRENTE LÍQUIDA - RCL;3683685160,7
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;RGF2ReceitaCorrenteLiquida;RECEITA CORRENTE LÍQUIDA - RCL;3702814573,09
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;PercentualDaDCSobreARCL;% da DC sobre a RCL (I/RCL);22,67
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;PercentualDaDCSobreARCL;% da DC sobre a RCL (I/RCL);25,85
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;PercentualDaDCLSobreARCL;% da DCL sobre a RCL (III/RCL);16,18
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;PercentualDaDCLSobreARCL;% da DCL sobre a RCL (III/RCL);10,22
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;LimiteDefinidoPorResolucaoDoSenadoFederal;LIMITE DEFINIDO POR RESOLUÇÃO DO SENADO FEDERAL;4443377487,71
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;LimiteDeAlerta;LIMITE DE ALERTA (inciso III do § 1º do art. 59 da LRF);3999039738,94
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;DetalheDaDividaContratual;DÍVIDA CONTRATUAL (IV = V + VI + VII + VIII);835208380,45
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;DetalheDaDividaContratual;DÍVIDA CONTRATUAL (IV = V + VI + VII + VIII);957064783,09
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;ParcelamentoDeDividas;PARCELAMENTO DE DÍVIDAS (VI);234332936,87
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;ParcelamentoDeDividas;PARCELAMENTO DE DÍVIDAS (VI);248111816,41
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;ParcelamentoDeDividasDeContribuicoesSociais;De Contribuições Sociais;234083485,45
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;ParcelamentoDeDividasDeContribuicoesSociais;De Contribuições Sociais;247894485,02
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;ParcelamentoDeDividasDeContribuicoesSociaisPrevidenciarias;Previdenciárias;222435299,97
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;ParcelamentoDeDividasDeContribuicoesSociaisPrevidenciarias;Previdenciárias;215241971,93
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;ParcelamentoDeDividasDeContribuicoesSociaisDemaisContribuicoesSociais;Demais Contribuições Sociais;11648185,48
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;ParcelamentoDeDividasDeContribuicoesSociaisDemaisContribuicoesSociais;Demais Contribuições Sociais;32652513,09
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;ParcelamentoDeDividasDoFGTS;Do FGTS;249451,42
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;ParcelamentoDeDividasDoFGTS;Do FGTS;217331,39
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;DividaComInstituicaoFinanceira;DÍVIDA COM INSTITUIÇÃO FINANCEIRA (VII);600875443,58
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;DividaComInstituicaoFinanceira;DÍVIDA COM INSTITUIÇÃO FINANCEIRA (VII);708952966,68
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;DividaComInstituicaoFinanceiraInterna;Interna;445235793,34
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;DividaComInstituicaoFinanceiraInterna;Interna;533543412,82
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;SALDO DO EXERCÍCIO ANTERIOR;DividaComInstituicaoFinanceiraExterna;Externa;155639650,24
2015;1;Q;Prefeitura Municipal de Recife - PE;2611606;PE;E;1608488;RGF-Anexo 02;M;;Até o 1º Quadrimestre;DividaComInstituicaoFinanceiraExterna;Externa;175409553,86
