exercicio;demonstrativo;periodo;periodicidade;instituicao;cod_ibge;uf;populacao;anexo;esfera;rotulo;coluna;cod_conta;conta;valor
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 14;M;;Até o Bimestre;PrevisaoInicialDemonstrativoSimplificadoBalancoOrcamentario;Previsão Inicial;5742000000,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 14;M;;Até o Bimestre;PrevisaoAtualizadaDemonstrativoSimplificadoBalancoOrcamentario;Previsão Atualizada;5742000000,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 14;M;;Até o Bimestre;ReceitasRealizadasDemonstrativoSimplificadoBalancoOrcamentario;Receitas Realizadas;757408783,8
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 14;M;;Até o Bimestre;SaldoDeExerciciosAnterioresUtilizadosParaCreditosAdicionaisDemonstrativoSimplificadoBalancoOrcamentario;Saldos de Exercícios Anteriores (Utilizados para Créditos Adicionais);14508251,19
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 14;M;;Até o Bimestre;DotacaoInicialDemonstrativoSimplificadoBalancoOrcamentario;Dotação Inicial;5742000000,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 14;M;;Até o Bimestre;CreditosAdicionaisDemonstrativoSimplificadoBalancoOrcamentario;Créditos Adicionais;14508251,19
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 14;M;;Até o Bimestre;DotacaoAtualizadaDemonstrativoSimplificadoBalancoOrcamentario;Dotação Atualizada;5756508251,19
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 14;M;;Até o Bimestre;DespesasEmpenhadasDemonstrativoSimplificadoBalancoOrcamentario;Despesas Empenhadas;1683141441,9
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 14;M;;Até o Bimestre;DespesasLiquidadasDemonstrativoSimplificadoBalancoOrcamentario;Despesas Liquidadas;481532082,25
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 14;M;;Até o Bimestre;DespesasPagas;Despesas Pagas;426623470,3
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 14;M;;Até o Bimestre;SuperavitOrcamentarioDemonstrativoSimplificadoBalancoOrcamentario;Superávit Orçamentário;275876701,55
