exercicio;demonstrativo;periodo;periodicidade;instituicao;cod_ibge;uf;populacao;anexo;esfera;rotulo;coluna;cod_conta;conta;valor
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;PREVISÃO ATUALIZADA;ReceitasCorrentes;RECEITAS CORRENTES (I);5940108000,0
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;RECEITAS REALIZADAS (a);ReceitasCorrentes;RECEITAS CORRENTES (I);1271999845,56
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;PREVISÃO ATUALIZADA;RREO6ReceitasTributarias;Impostos, Taxas e Contribuições de Melhoria;2222475000,0
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;RECEITAS REALIZADAS (a);RREO6ReceitasTributarias;Impostos, Taxas e Contribuições de Melhoria;613422820,75
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;PREVISÃO ATUALIZADA;RREO6IPTU;IPTU;548134000,0
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;RECEITAS REALIZADAS (a);RREO6IPTU;IPTU;237054447,5
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;PREVISÃO ATUALIZADA;RREO6ISS;ISS;946786000,0
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;RECEITAS REALIZADAS (a);RREO6ISS;ISS;185962399,98
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;PREVISÃO ATUALIZADA;RREO6ITBI;ITBI;123740000,0
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;RECEITAS REALIZADAS (a);RREO6ITBI;ITBI;16484170,31
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;PREVISÃO ATUALIZADA;RREO6IRRF;IRRF;246465000,0
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;RECEITAS REALIZADAS (a);RREO6IRRF;IRRF;34394830,19
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;PREVISÃO ATUALIZADA;RREO6OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;357350000,0
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;RECEITAS REALIZADAS (a);RREO6OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;139526972,77
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;PREVISÃO ATUALIZADA;RREO6ReceitasDeContribuicoes;Contribuições;299236000,0
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;RECEITAS REALIZADAS (a);RREO6ReceitasDeContribuicoes;Contribuições;58885983,59
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;PREVISÃO ATUALIZADA;RREO6ReceitaPatrimonial;Receita Patrimonial;263644000,0
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;RECEITAS REALIZADAS (a);RREO6ReceitaPatrimonial;Receita Patrimonial;19866319,8
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;PREVISÃO ATUALIZADA;RREO6AplicacoesFinanceiras;Aplicações Financeiras (II);217674000,0
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;RECEITAS REALIZADAS (a);RREO6AplicacoesFinanceiras;Aplicações Financeiras (II);19171311,61
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;PREVISÃO ATUALIZADA;OutrasReceitasPatrimoniais;Outras Receitas Patrimoniais;45970000,0
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;RECEITAS REALIZADAS (a);OutrasReceitasPatrimoniais;Outras Receitas Patrimoniais;695008,19
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;PREVISÃO ATUALIZADA;RREO6TransferenciasCorrentes;Transferências Correntes;2926594000,0
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;RECEITAS REALIZADAS (a);RREO6TransferenciasCorrentes;Transferências Correntes;545989031,21
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;PREVISÃO ATUALIZADA;RREO6CotaParteDoFPM;Cota-Parte do FPM;618874000,0
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;RECEITAS REALIZADAS (a);RREO6CotaParteDoFPM;Cota-Parte do FPM;122584424,83
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;PREVISÃO ATUALIZADA;RREO6CotaParteDoICMS;Cota-Parte do ICMS;799185000,0
2022;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1661017;RREO-Anexo 06;M;Padrão;RECEITAS REALIZADAS (a);RREO6CotaParteDoICMS;Cota-Parte do ICMS;129176380,09
